Country,Income_group,Year,Age,Boys,Girls,All_children
United States,High income,2021-2023,5-17,37.5,37.5,37.5
Mexico,Upper-middle income,2023,12-19,37.7,38.4,38.1
Canada,High income,2022-2024,5-17,34.3,26.5,30.5
Chile,High income,2024,4-14,52.0,49.6,50.9
Argentina,Upper-middle income,2018-2019,5-17,42.2,39.9,41.1
Brazil,Upper-middle income,2019,15-17,16.0,22.9,19.4
China,Upper-middle income,2015,7-18,21.9,15.5,18.8
Japan,High income,2023,6-14,7.1,6.9,7.0
India,Lower-middle income,2016-2018,5-9,4.2,3.3,3.7
Indonesia,Upper-middle income,2023,13-17,22.7,23.3,23.0
Philippines,Lower-middle income,2024,13-17,18.7,13.3,16.0
Vietnam,Lower-middle income,2020-2021,7-11,38.6,26.9,32.7
Thailand,Upper-middle income,2021,13-17,22.0,16.1,18.9
South Korea,High income,2017,6-18,25.0,22.2,23.7
Singapore,High income,2017,6-18,-,-,13.0
New Zealand,High income,2024-2025,2-14,30.9,32.2,31.5
Australia,High income,2022-2023,5-17,29.3,25.9,27.8
United Kingdom,High income,2014,2-15,40.5,19.8,20.1
England,High income,2022,2-15,26.4,27.1,26.7
Scotland,High income,2023,2-15,31.0,29.0,31.0
Germany,High income,2022-2024,8,27.7,23.3,25.7
France,High income,2021-2022,13,22.0,13.0,-
Italy,High income,2023,8-9,28.6,29.2,28.8
Spain,High income,2023-2024,6-9,37.5,34.4,36.1
Netherlands,High income,2024,4-12,14.0,15.4,14.6
Sweden,High income,2022-2024,8,34.2,31.6,32.9
Norway,High income,2021-2022,13,25.0,12.0,-
Denmark,High income,2022-2024,7,18.5,21.7,20.0
Finland,High income,2023,7-12,26.4,18.1,22.3
Switzerland,High income,2023-2024,6-17,11.4,14.5,12.9
Austria,High income,2022-2024,8,28.5,20.7,24.6
Belgium,High income,2021-2022,13,19.0,16.0,-
Ireland,High income,2022-2023,6-12,16.5,18.8,17.7
Portugal,High income,2022-2024,7,30.6,31.9,31.3
Poland,High income,2022-2024,8,36.1,29.7,32.9
Czech Republic,High income,2022-2024,7,21.6,20.3,21.0
Hungary,High income,2022-2024,7,27.5,26.6,27.0
Romania,High income,2022-2023,5-19,45.5,35.6,40.4
Greece,High income,2022,11-15,27.9,17.2,22.2
Turkey,Upper-middle income,2022-2024,7,23.8,21.2,22.5
Saudi Arabia,High income,2024,2-14,51.6,44.1,47.9
Qatar,High income,2019-2020,5-14,53.8,44.5,49.3
Kuwait,High income,2024,5-19,-,-,46.9
Bahrain,High income,2016,13-17,39.3,38.0,38.6
United Arab Emirates,High income,2018-2019,13-19,-,-,34.7
Egypt,Lower-middle income,2021-2022,5-19,19.4,23.3,21.3
Morocco,Lower-middle income,2016,13-17,12.7,17.8,16.0
Algeria,Upper-middle income,2011,13-15,10.9,16.3,13.7
South Africa,Upper-middle income,2012,2-14,16.2,23.6,19.9
Kenya,Lower-middle income,2022,15-19,2.2,13.2,7.8
Ethiopia,Low income,2016,11-15,20.9,20.3,20.5
Nigeria,Lower-middle income,2023-2024,15-19,-,6.2,-
Peru,Upper-middle income,2017-2018,6-13,40.1,36.7,38.4
Colombia,Upper-middle income,2022,2-17,26.6,35.9,-
Ecuador,Upper-middle income,2018,5-11,37.81,32.87,35.4
Cook Islands,Upper-middle income,2015,13-17,59.7,67.5,63.7
Nauru,High income,2011,13-15,40.0,48.9,44.5
Tonga,Upper-middle income,2017,13-17,48.2,63.3,55.7
Samoa,Upper-middle income,2017,13-17,52.4,63.9,58.5
French Polynesia,High income,2024,13-17,49.2,43.1,48.1
Guam,High income,2013-2014,4-19,41.6,36.1,38.8
Puerto Rico,High income,2010-2011,12,43.4,39.7,41.5
Uruguay,High income,2019,13-17,33.7,33.5,33.6
Jordan,Lower-middle income,2015-2016,6-17,34.2,30.1,32.2
Lebanon,Lower-middle income,2017,13-17,30.2,19.7,24.6
Iran,Upper-middle income,2015,7-18,21.2,20.5,20.8
Iraq,Upper-middle income,2013-2014,15-18,27.3,23.5,25.2
Israel,High income,2022-2024,7,17.7,17.8,17.7
Russia,High income,2018-2020,7,23.9,22.5,23.2
Ukraine,Upper-middle income,2022-2024,7,22.9,20.7,21.9
Malaysia,Upper-middle income,2024,5-19,32.4,23.3,28.0
Bangladesh,Lower-middle income,2019-2020,15-19,8.25,11.63,10.61
Pakistan,Lower-middle income,2021,9-17,9.9,12.7,11.2
Sri Lanka,Lower-middle income,2024,13-17,11.5,12.7,12.1
Afghanistan,Low income,2014,13-17,15.6,12.7,14.2
Albania,Upper-middle income,2022-2024,8,33.9,28.7,31.4
Armenia,Upper-middle income,2021-2022,13,27.0,15.0,-
Azerbaijan,Upper-middle income,2022-2024,8,28.3,25.3,26.9
Georgia,Upper-middle income,2022-2024,7,29.3,25.3,27.4
Kazakhstan,Upper-middle income,2022-2024,8,22.9,15.9,19.5
Kyrgyzstan,Lower-middle income,2022-2024,7,14.0,11.6,12.7
Tajikistan,Lower-middle income,2021-2022,13,13.0,9.0,-
Uzbekistan,Lower-middle income,2022-2024,7,10.7,8.0,9.4
Mongolia,Upper-middle income,2023,13-17,13.3,15.7,14.6
